id,slug,title,data_page_title,title_fallback,resolved_page_title,page_title_column_before,page_title_proposed,page_title_source,data_meta_description,short_description_fallback,resolved_meta_description,meta_description_column_before,meta_description_proposed,meta_description_source,data_hero_image,image_fallback,resolved_hero_image_url,hero_image_url_column_before,hero_image_url_proposed,hero_image_source,legacy_journey_type,data_journey_type,resolved_journey_type_slug,journey_type_slug_column_before,journey_type_slug_proposed,journey_type_slug_source,manual_review,reason
37f6a3ae-f758-4449-83f5-e036c83f189d,badaling-great-wall-day-tour,Badaling Great Wall Day Tour,Badaling Great Wall Day Tour,Badaling Great Wall Day Tour,Badaling Great Wall Day Tour,,Badaling Great Wall Day Tour,data.pageTitle,,"Beijing begins, Beijing ends","Beijing begins, Beijing ends",,"Beijing begins, Beijing ends",short_description,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1771747900791-%E4%B8%BB%E5%9B%BE-%E5%85%AB%E8%BE%BE%E5%B2%AD%E9%95%BF%E5%9F%8E-%E6%A8%AA%E5%9B%BE-I5XJSRFtV6au0gTCTXw6TWd7UoT4fh.jpg,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1771747900791-%E4%B8%BB%E5%9B%BE-%E5%85%AB%E8%BE%BE%E5%B2%AD%E9%95%BF%E5%9F%8E-%E6%A8%AA%E5%9B%BE-I5XJSRFtV6au0gTCTXw6TWd7UoT4fh.jpg,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1771747900791-%E4%B8%BB%E5%9B%BE-%E5%85%AB%E8%BE%BE%E5%B2%AD%E9%95%BF%E5%9F%8E-%E6%A8%AA%E5%9B%BE-I5XJSRFtV6au0gTCTXw6TWd7UoT4fh.jpg,,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1771747900791-%E4%B8%BB%E5%9B%BE-%E5%85%AB%E8%BE%BE%E5%B2%AD%E9%95%BF%E5%9F%8E-%E6%A8%AA%E5%9B%BE-I5XJSRFtV6au0gTCTXw6TWd7UoT4fh.jpg,data.heroImage,Explore Together,,explore-together,,explore-together,legacy_journey_type,false,active metadata backfill candidate
3468ea14-5f5e-40f6-9234-0fedf137189e,beijing-city-imperial-grandeur-urban-chic-1-day-tour,Beijing City Imperial Grandeur & Urban Chic One-Day Tour,Beijing City Imperial Grandeur & Urban Chic 1-Day Tour,Beijing City Imperial Grandeur & Urban Chic One-Day Tour,Beijing City Imperial Grandeur & Urban Chic 1-Day Tour,,Beijing City Imperial Grandeur & Urban Chic 1-Day Tour,data.pageTitle,,Navigating the Monumental Scale of Dynastic History and the Avant-Garde Ambition of a Modern Metropolis.,Navigating the Monumental Scale of Dynastic History and the Avant-Garde Ambition of a Modern Metropolis.,,Navigating the Monumental Scale of Dynastic History and the Avant-Garde Ambition of a Modern Metropolis.,short_description,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1771749910450-%E4%B8%BB%E5%9B%BE-%E6%95%85%E5%AE%AB-%E6%A8%AA%E5%9B%BE-v6JynohkI6UiYbNv4kXh63fUsV6p7N.jpeg,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1771749910450-%E4%B8%BB%E5%9B%BE-%E6%95%85%E5%AE%AB-%E6%A8%AA%E5%9B%BE-v6JynohkI6UiYbNv4kXh63fUsV6p7N.jpeg,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1771749910450-%E4%B8%BB%E5%9B%BE-%E6%95%85%E5%AE%AB-%E6%A8%AA%E5%9B%BE-v6JynohkI6UiYbNv4kXh63fUsV6p7N.jpeg,,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1771749910450-%E4%B8%BB%E5%9B%BE-%E6%95%85%E5%AE%AB-%E6%A8%AA%E5%9B%BE-v6JynohkI6UiYbNv4kXh63fUsV6p7N.jpeg,data.heroImage,Explore Together,,explore-together,,explore-together,legacy_journey_type,false,active metadata backfill candidate
8f3cdc36-f243-45da-b3b5-ecfba83929a6,beijing-cultural-highlights-and-iconic-sights-5-multi-days-tour,"Beijing Cultural Highlights, and Iconic Sights  5 Multi-Days Tour","Beijing Cultural Highlights, and Iconic Sights  5 Multi-Days Tour","Beijing Cultural Highlights, and Iconic Sights  5 Multi-Days Tour","Beijing Cultural Highlights, and Iconic Sights  5 Multi-Days Tour",,"Beijing Cultural Highlights, and Iconic Sights  5 Multi-Days Tour",data.pageTitle,,"Beijing begins, Beijing ends","Beijing begins, Beijing ends",,"Beijing begins, Beijing ends",short_description,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1766842579054-%E4%B8%BB%E5%9B%BE-%E6%A8%AA%E5%9B%BE-hjLT44tBhGSiUk0G8wk7chpW0Yu8Iy.jpeg,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1766842579054-%E4%B8%BB%E5%9B%BE-%E6%A8%AA%E5%9B%BE-hjLT44tBhGSiUk0G8wk7chpW0Yu8Iy.jpeg,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1766842579054-%E4%B8%BB%E5%9B%BE-%E6%A8%AA%E5%9B%BE-hjLT44tBhGSiUk0G8wk7chpW0Yu8Iy.jpeg,,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1766842579054-%E4%B8%BB%E5%9B%BE-%E6%A8%AA%E5%9B%BE-hjLT44tBhGSiUk0G8wk7chpW0Yu8Iy.jpeg,data.heroImage,Deep Discovery,,deep-discovery,,deep-discovery,legacy_journey_type,false,active metadata backfill candidate
d5e5c0e9-6549-497a-97a3-4843621da5dc,beijing-to-mutianyu-great-wall-day-tour,Beijing to Mutianyu Great Wall Day Tour,Beijing to Mutianyu Great Wall Day Tour,Beijing to Mutianyu Great Wall Day Tour,Beijing to Mutianyu Great Wall Day Tour,,Beijing to Mutianyu Great Wall Day Tour,data.pageTitle,,"Beijing begins, Beijing ends","Beijing begins, Beijing ends",,"Beijing begins, Beijing ends",short_description,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1771688549942-%E4%B8%BB%E5%9B%BE-%E6%85%95%E7%94%B0%E5%B3%AA%E9%95%BF%E5%9F%8E-%E6%A8%AA%E5%9B%BE-fwCKaJ5Q0zNkoOew79SY9tN8SXCMSe.jpg,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1771688549942-%E4%B8%BB%E5%9B%BE-%E6%85%95%E7%94%B0%E5%B3%AA%E9%95%BF%E5%9F%8E-%E6%A8%AA%E5%9B%BE-fwCKaJ5Q0zNkoOew79SY9tN8SXCMSe.jpg,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1771688549942-%E4%B8%BB%E5%9B%BE-%E6%85%95%E7%94%B0%E5%B3%AA%E9%95%BF%E5%9F%8E-%E6%A8%AA%E5%9B%BE-fwCKaJ5Q0zNkoOew79SY9tN8SXCMSe.jpg,,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1771688549942-%E4%B8%BB%E5%9B%BE-%E6%85%95%E7%94%B0%E5%B3%AA%E9%95%BF%E5%9F%8E-%E6%A8%AA%E5%9B%BE-fwCKaJ5Q0zNkoOew79SY9tN8SXCMSe.jpg,data.heroImage,Explore Together,,explore-together,,explore-together,legacy_journey_type,false,active metadata backfill candidate
4d3bbbb8-3907-459b-af10-181ace7af8ec,beijing-to-shanxi-ancient-architecture-with-black-myth-wukong-inspirations-6-day-tour,Beijing to Shanxi Ancient Architecture with Black Myth: Wukong Inspirations  6-Day Tour,Beijing to Shanxi Ancient Architecture with Black Myth: Wukong Inspirations  6-Day Tour,Beijing to Shanxi Ancient Architecture with Black Myth: Wukong Inspirations  6-Day Tour,Beijing to Shanxi Ancient Architecture with Black Myth: Wukong Inspirations  6-Day Tour,,Beijing to Shanxi Ancient Architecture with Black Myth: Wukong Inspirations  6-Day Tour,data.pageTitle,,"Beijing begins, Xi’an ends","Beijing begins, Xi’an ends",,"Beijing begins, Xi’an ends",short_description,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1766845845305-D1-%E5%A4%A7%E5%90%8C%E5%8F%A4%E5%9F%8E-%E7%AB%96%E5%9B%BE-CvfB9ls8Q7HhZavjCmqai1HKdlUgqN.jpeg,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1766845845305-D1-%E5%A4%A7%E5%90%8C%E5%8F%A4%E5%9F%8E-%E7%AB%96%E5%9B%BE-CvfB9ls8Q7HhZavjCmqai1HKdlUgqN.jpeg,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1766845845305-D1-%E5%A4%A7%E5%90%8C%E5%8F%A4%E5%9F%8E-%E7%AB%96%E5%9B%BE-CvfB9ls8Q7HhZavjCmqai1HKdlUgqN.jpeg,,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1766845845305-D1-%E5%A4%A7%E5%90%8C%E5%8F%A4%E5%9F%8E-%E7%AB%96%E5%9B%BE-CvfB9ls8Q7HhZavjCmqai1HKdlUgqN.jpeg,data.heroImage,Deep Discovery,,deep-discovery,,deep-discovery,legacy_journey_type,false,active metadata backfill candidate
12da1d30-0d8d-49df-b350-fe6880c56ab8,chaoshan-region-cultural-heritage-6-day-tour,Chaoshan Region Cultural Heritage 6-Day  Tour,Chaoshan Region Cultural Heritage 6-Day  Tour,Chaoshan Region Cultural Heritage 6-Day  Tour,Chaoshan Region Cultural Heritage 6-Day  Tour,,Chaoshan Region Cultural Heritage 6-Day  Tour,data.pageTitle,,"Chaozhou begins, Jieyang ends","Chaozhou begins, Jieyang ends",,"Chaozhou begins, Jieyang ends",short_description,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1767327974888-%E4%B8%BB%E5%9B%BE-%E6%BD%AE%E6%B1%95-%E6%A8%AA%E5%9B%BE-7jm5TXOGouZn5XH3Bz7nlBoG5zBjVF.jpeg,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1767327974888-%E4%B8%BB%E5%9B%BE-%E6%BD%AE%E6%B1%95-%E6%A8%AA%E5%9B%BE-7jm5TXOGouZn5XH3Bz7nlBoG5zBjVF.jpeg,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1767327974888-%E4%B8%BB%E5%9B%BE-%E6%BD%AE%E6%B1%95-%E6%A8%AA%E5%9B%BE-7jm5TXOGouZn5XH3Bz7nlBoG5zBjVF.jpeg,,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1767327974888-%E4%B8%BB%E5%9B%BE-%E6%BD%AE%E6%B1%95-%E6%A8%AA%E5%9B%BE-7jm5TXOGouZn5XH3Bz7nlBoG5zBjVF.jpeg,data.heroImage,Deep Discovery,,deep-discovery,,deep-discovery,legacy_journey_type,false,active metadata backfill candidate
535ac95b-f891-4e1c-916f-57028d7cb9e0,chengdu-chongqing-double-cities-6-day-tour,Chengdu & Chongqing Double Cities 6-Day  Tour,Chengdu & Chongqing Double Cities 6-Day  Tour,Chengdu & Chongqing Double Cities 6-Day  Tour,Chengdu & Chongqing Double Cities 6-Day  Tour,,Chengdu & Chongqing Double Cities 6-Day  Tour,data.pageTitle,,"Chengdu begins, Chongqing ends","Chengdu begins, Chongqing ends",,"Chengdu begins, Chongqing ends",short_description,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1767711463448-%E4%B8%BB%E5%9B%BE%E2%80%94%E6%88%90%E9%83%BD%E2%80%94%E6%A8%AA%E5%9B%BE-04q2MMWKiamDwGcgjVXGn3ZSuZYpTS.png,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1767711463448-%E4%B8%BB%E5%9B%BE%E2%80%94%E6%88%90%E9%83%BD%E2%80%94%E6%A8%AA%E5%9B%BE-04q2MMWKiamDwGcgjVXGn3ZSuZYpTS.png,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1767711463448-%E4%B8%BB%E5%9B%BE%E2%80%94%E6%88%90%E9%83%BD%E2%80%94%E6%A8%AA%E5%9B%BE-04q2MMWKiamDwGcgjVXGn3ZSuZYpTS.png,,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1767711463448-%E4%B8%BB%E5%9B%BE%E2%80%94%E6%88%90%E9%83%BD%E2%80%94%E6%A8%AA%E5%9B%BE-04q2MMWKiamDwGcgjVXGn3ZSuZYpTS.png,data.heroImage,Deep Discovery,,deep-discovery,,deep-discovery,legacy_journey_type,false,active metadata backfill candidate
d48f2466-e466-4801-886c-cd28c6cc97c6,chongqing-highlights-magic-cityscape-day-tour,Chongqing Highlights & Magic Cityscape Day Tour,Chongqing Highlights & Magic Cityscape Day Tour | Korascale Travel,Chongqing Highlights & Magic Cityscape Day Tour,Chongqing Highlights & Magic Cityscape Day Tour | Korascale Travel,,Chongqing Highlights & Magic Cityscape Day Tour | Korascale Travel,data.pageTitle,,"Chongqing begins, Chongqing ends","Chongqing begins, Chongqing ends",,"Chongqing begins, Chongqing ends",short_description,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1771754676598-%E4%B8%BB%E5%9B%BE-%E9%87%8D%E5%BA%86%E5%B8%82%E5%8C%BA-%E6%A8%AA%E5%9B%BE-RG3wOzUWFTX4jHSQYUlZmKppYZJZk3.jpeg,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1771754676598-%E4%B8%BB%E5%9B%BE-%E9%87%8D%E5%BA%86%E5%B8%82%E5%8C%BA-%E6%A8%AA%E5%9B%BE-RG3wOzUWFTX4jHSQYUlZmKppYZJZk3.jpeg,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1771754676598-%E4%B8%BB%E5%9B%BE-%E9%87%8D%E5%BA%86%E5%B8%82%E5%8C%BA-%E6%A8%AA%E5%9B%BE-RG3wOzUWFTX4jHSQYUlZmKppYZJZk3.jpeg,,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1771754676598-%E4%B8%BB%E5%9B%BE-%E9%87%8D%E5%BA%86%E5%B8%82%E5%8C%BA-%E6%A8%AA%E5%9B%BE-RG3wOzUWFTX4jHSQYUlZmKppYZJZk3.jpeg,data.heroImage,Explore Together,,explore-together,,explore-together,legacy_journey_type,false,active metadata backfill candidate
9b0aefcc-3604-4d5c-bcc2-0b8ee80bb621,grand-china-highlands-nature-18-day-journey,Grand China Highlands & Nature 18-Day Journey,Grand China Highlands & Nature 18-Day Journey,Grand China Highlands & Nature 18-Day Journey,Grand China Highlands & Nature 18-Day Journey,,Grand China Highlands & Nature 18-Day Journey,data.pageTitle,,Shanghai begins · Lijiang · Shangri-La · Lhasa · Everest · Shigatse · Beijing ends,Shanghai begins · Lijiang · Shangri-La · Lhasa · Everest · Shigatse · Beijing ends,,Shanghai begins · Lijiang · Shangri-La · Lhasa · Everest · Shigatse · Beijing ends,short_description,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1769923887089-%E4%B8%BB%E5%9B%BE-%E5%B8%83%E8%BE%BE%E6%8B%89%E5%AE%AB-%E6%A8%AA%E5%9B%BE-nUl8p9O9Z5vEKsSj7GdfgyRSebzbRu.jpeg,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1769923887089-%E4%B8%BB%E5%9B%BE-%E5%B8%83%E8%BE%BE%E6%8B%89%E5%AE%AB-%E6%A8%AA%E5%9B%BE-nUl8p9O9Z5vEKsSj7GdfgyRSebzbRu.jpeg,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1769923887089-%E4%B8%BB%E5%9B%BE-%E5%B8%83%E8%BE%BE%E6%8B%89%E5%AE%AB-%E6%A8%AA%E5%9B%BE-nUl8p9O9Z5vEKsSj7GdfgyRSebzbRu.jpeg,,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1769923887089-%E4%B8%BB%E5%9B%BE-%E5%B8%83%E8%BE%BE%E6%8B%89%E5%AE%AB-%E6%A8%AA%E5%9B%BE-nUl8p9O9Z5vEKsSj7GdfgyRSebzbRu.jpeg,data.heroImage,Deep Discovery,,deep-discovery,,deep-discovery,legacy_journey_type,false,active metadata backfill candidate
eb9647df-6b38-46be-9920-9b80f27a9d2e,grand-china-highlights-16-day-multi-city-journey,Grand China Highlights 16-Day Multi-City Journey,Grand China Highlights 16-Day Multi-City Journey,Grand China Highlights 16-Day Multi-City Journey,Grand China Highlights 16-Day Multi-City Journey,,Grand China Highlights 16-Day Multi-City Journey,data.pageTitle,,Beijing begins · Xi’an · Chengdu · Chongqing · Guilin · Shanghai ends,Beijing begins · Xi’an · Chengdu · Chongqing · Guilin · Shanghai ends,,Beijing begins · Xi’an · Chengdu · Chongqing · Guilin · Shanghai ends,short_description,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1769921047051-%E4%B8%BB%E5%9B%BE-%E6%A1%82%E6%9E%97%E5%B1%B1%E6%B0%B4-%E6%A8%AA%E5%9B%BE-6aJddp5N5BEhJi8dKhKOYiIG2vEqPw.jpg,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1769921047051-%E4%B8%BB%E5%9B%BE-%E6%A1%82%E6%9E%97%E5%B1%B1%E6%B0%B4-%E6%A8%AA%E5%9B%BE-6aJddp5N5BEhJi8dKhKOYiIG2vEqPw.jpg,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1769921047051-%E4%B8%BB%E5%9B%BE-%E6%A1%82%E6%9E%97%E5%B1%B1%E6%B0%B4-%E6%A8%AA%E5%9B%BE-6aJddp5N5BEhJi8dKhKOYiIG2vEqPw.jpg,,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1769921047051-%E4%B8%BB%E5%9B%BE-%E6%A1%82%E6%9E%97%E5%B1%B1%E6%B0%B4-%E6%A8%AA%E5%9B%BE-6aJddp5N5BEhJi8dKhKOYiIG2vEqPw.jpg,data.heroImage,Deep Discovery,,deep-discovery,,deep-discovery,legacy_journey_type,false,active metadata backfill candidate
