id,slug,journey_title,hero_image_url,current_alt,proposed_alt,reviewer_decision,notes
37f6a3ae-f758-4449-83f5-e036c83f189d,badaling-great-wall-day-tour,Badaling Great Wall Day Tour,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1771747900791-%E4%B8%BB%E5%9B%BE-%E5%85%AB%E8%BE%BE%E5%B2%AD%E9%95%BF%E5%9F%8E-%E6%A8%AA%E5%9B%BE-I5XJSRFtV6au0gTCTXw6TWd7UoT4fh.jpg,,The Great Wall of China winding across forested hills with watchtowers under a blue sky,approved,Approved 2026-06-27
3468ea14-5f5e-40f6-9234-0fedf137189e,beijing-city-imperial-grandeur-urban-chic-1-day-tour,Beijing City Imperial Grandeur & Urban Chic One-Day Tour,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1771749910450-%E4%B8%BB%E5%9B%BE-%E6%95%85%E5%AE%AB-%E6%A8%AA%E5%9B%BE-v6JynohkI6UiYbNv4kXh63fUsV6p7N.jpeg,,Courtyard and yellow-roofed halls of the Forbidden City in Beijing under a blue sky,approved,Approved 2026-06-27
8f3cdc36-f243-45da-b3b5-ecfba83929a6,beijing-cultural-highlights-and-iconic-sights-5-multi-days-tour,"Beijing Cultural Highlights, and Iconic Sights  5 Multi-Days Tour",https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1766842579054-%E4%B8%BB%E5%9B%BE-%E6%A8%AA%E5%9B%BE-hjLT44tBhGSiUk0G8wk7chpW0Yu8Iy.jpeg,,Meridian Gate of the Forbidden City viewed from a pavilion at sunset,approved,Approved 2026-06-27
d5e5c0e9-6549-497a-97a3-4843621da5dc,beijing-to-mutianyu-great-wall-day-tour,Beijing to Mutianyu Great Wall Day Tour,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1771688549942-%E4%B8%BB%E5%9B%BE-%E6%85%95%E7%94%B0%E5%B3%AA%E9%95%BF%E5%9F%8E-%E6%A8%AA%E5%9B%BE-fwCKaJ5Q0zNkoOew79SY9tN8SXCMSe.jpg,,The Great Wall snaking over hills covered in autumn foliage under cloudy skies,approved,Approved 2026-06-27
4d3bbbb8-3907-459b-af10-181ace7af8ec,beijing-to-shanxi-ancient-architecture-with-black-myth-wukong-inspirations-6-day-tour-,Beijing to Shanxi Ancient Architecture with Black Myth: Wukong Inspirations  6-Day Tour ,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1766845845305-D1-%E5%A4%A7%E5%90%8C%E5%8F%A4%E5%9F%8E-%E7%AB%96%E5%9B%BE-CvfB9ls8Q7HhZavjCmqai1HKdlUgqN.jpeg,,Multi-tiered traditional Chinese tower on a stone city wall at golden hour,approved,Approved 2026-06-27
12da1d30-0d8d-49df-b350-fe6880c56ab8,chaoshan-region-cultural-heritage-6-day-tour,Chaoshan Region Cultural Heritage 6-Day  Tour,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1767327974888-%E4%B8%BB%E5%9B%BE-%E6%BD%AE%E6%B1%95-%E6%A8%AA%E5%9B%BE-7jm5TXOGouZn5XH3Bz7nlBoG5zBjVF.jpeg,,Yingge dancers in painted costumes performing before a decorated ancestral hall in Chaoshan,approved,Approved 2026-06-27
535ac95b-f891-4e1c-916f-57028d7cb9e0,chengdu-chongqing-double-cities-6-day-tour,Chengdu & Chongqing Double Cities 6-Day  Tour,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1767711463448-%E4%B8%BB%E5%9B%BE%E2%80%94%E6%88%90%E9%83%BD%E2%80%94%E6%A8%AA%E5%9B%BE-04q2MMWKiamDwGcgjVXGn3ZSuZYpTS.png,,Giant 3D panda digital billboard on a corner building above a busy Chengdu street,approved,Approved 2026-06-27
aa64bf32-d48f-4d5a-8bb7-e0e85353de5c,jiuzhaigou-cultural-adventure-4-day-tour,Chengdu to Jiuzhaigou & Huanglong 6-Day Nature & Culture Tour,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1767714076358-%E4%B8%BB%E5%9B%BE-%E4%B9%9D%E5%AF%A8%E6%B2%9F-%E6%A8%AA%E5%9B%BE-z8k3mNCllKHJa6CARBGLsPC7wPmzDb.jpeg,,Turquoise lake in Jiuzhaigou reflecting autumn forests and submerged tree trunks,approved,Approved 2026-06-27
d48f2466-e466-4801-886c-cd28c6cc97c6,chongqing-highlights-magic-cityscape-day-tour,Chongqing Highlights & Magic Cityscape Day Tour,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1771754676598-%E4%B8%BB%E5%9B%BE-%E9%87%8D%E5%BA%86%E5%B8%82%E5%8C%BA-%E6%A8%AA%E5%9B%BE-RG3wOzUWFTX4jHSQYUlZmKppYZJZk3.jpeg,,"Chongqing skyline with golden twin towers, the Yangtze River, and a red bridge",approved,Approved 2026-06-27
9b0aefcc-3604-4d5c-bcc2-0b8ee80bb621,grand-china-highlands-nature-18-day-journey,Grand China Highlands & Nature 18-Day Journey,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1769923887089-%E4%B8%BB%E5%9B%BE-%E5%B8%83%E8%BE%BE%E6%8B%89%E5%AE%AB-%E6%A8%AA%E5%9B%BE-nUl8p9O9Z5vEKsSj7GdfgyRSebzbRu.jpeg,,Potala Palace red and white palaces on a hillside in Lhasa under a blue sky,approved,Approved 2026-06-27
eb9647df-6b38-46be-9920-9b80f27a9d2e,grand-china-highlights-16-day-multi-city-journey,Grand China Highlights 16-Day Multi-City Journey,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1769921047051-%E4%B8%BB%E5%9B%BE-%E6%A1%82%E6%9E%97%E5%B1%B1%E6%B0%B4-%E6%A8%AA%E5%9B%BE-6aJddp5N5BEhJi8dKhKOYiIG2vEqPw.jpg,,Karst peaks and a stone weir on a river near Guilin under a blue sky,approved,Approved 2026-06-27
4a22ea8c-15a2-4b39-b1d2-c7b3d3e32fd7,guangzhou-chaoshan-xiamen-cultural-loop-8-day-tour,"Guangzhou, Chaoshan & Xiamen  Cultural Loop 8-Day Tour",https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1767336091625-%E4%B8%BB%E5%9B%BE-%E9%BC%93%E6%B5%AA%E5%B1%BF-%E6%A8%AA%E5%9B%BE-BYoPelIP7Z05GUaamn23ttGm6vw8O0.jpeg,,Gulangyu Island with red-roofed buildings surrounded by turquoise sea and ferries,approved,Approved 2026-06-27
d2be5f8a-75a3-453a-88e6-a13c8baa70d4,guilin-to-yangshuo-classic-7-day-tour,Guilin to Yangshuo  Classic 7-Day Tour,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1767280379682-%E4%B8%BB%E5%9B%BE-%E6%A1%82%E6%9E%97%E5%B1%B1%E6%B0%B4-%E6%A8%AA%E5%9B%BE-cWIzMKou5RqE2x2ZWYvmqGdEZE6S1g.jpg,,Bamboo raft with cormorants on the Li River reflecting karst peaks near Yangshuo,approved,Approved 2026-06-27
fe99d869-cb67-4ba7-8791-ecdfa38c2701,huangshan-to-huizhou-ancient-villages-6-day-tour,Huangshan to Huizhou Ancient Villages 6-Day Tour,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1767340686645-%E4%B8%BB%E5%9B%BE-%E8%BF%8E%E5%AE%A2%E6%9D%BE-%E6%A8%AA%E5%9B%BE-4FOkmcw5y1HwAvY72Ou2giwRIEIiE4.jpg,,Iconic pine tree and granite peaks rising above mist at Huangshan (Yellow Mountain),approved,Approved 2026-06-27
062f363b-eabb-493c-a15b-fe769db12ac5,jiuzhaigou-huanglong-by-high-speed-rail-3-day-tour,Jiuzhaigou & Huanglong by High-Speed Rail 3-Day Tour,https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1771753923521-%E4%B8%BB%E5%9B%BE-%E4%B9%9D%E5%AF%A8%E6%B2%9F-%E6%A8%AA%E5%9B%BE-RBIWFJFZDyD8TzHhytYjCAmfndXhda.jpeg,,Turquoise Jiuzhaigou lake bordered by golden autumn forest and a submerged log,approved,Approved 2026-06-27
