id,slug,canonical_slug,status,journey_type_slug,title,h1,page_title,meta_description,short_description,primary_search_intent,secondary_search_intents,primary_query_concept,title_action,h1_action,page_title_action,meta_description_action,total_score,current_quality_score,optimization_opportunity,search_intent_score,title_meta_score,content_score,route_trust_score,technical_score,internal_link_score,conversion_score,commercial_value_score,score_evidence,priority_band,batch_wave,route_clarity_notes,itinerary_quality_notes,unique_value_notes,trust_notes,faq_count,faq_quality_notes,faq_directions,related_journey_count,related_article_count,internal_linking_notes,suggested_inspiration_links,suggested_journey_links,destination_hub_link,cta_recommendation,archived_references,fact_check_flags
37f6a3ae-f758-4449-83f5-e036c83f189d,badaling-great-wall-day-tour,badaling-great-wall-day-tour,active,explore-together,Badaling Great Wall Day Tour,Badaling Great Wall Day Tour,Badaling Great Wall Day Tour,"Beijing begins, Beijing ends","Beijing begins, Beijing ends",DAY_TOUR,,Badaling Great Wall + Beijing 1-day day tour,KEEP,MINOR_EDIT,KEEP,REWRITE,89,85,15,15,12,18,15,10,5,10,4,search_intent=15; title_meta=12; content=18; route_trust=15; technical=10; internal_link=5; conversion=10; commercial=4; current_quality=85; commercial_value_proxy=4; optimization_opportunity=15,P1,Immediate fix,"Route summary: Beijing begins, Beijing ends",No structured highlights array.,Explore Together SKU; emphasize same-day logistics and private guide value.,No FAQ content in Journey data.,0,No FAQ in DB; page lacks FAQPage JSON-LD.,Crowd timing and wall section choice; Private transfer and hiking options; Suitable for children/seniors; Pickup area and daily pace; What is included in a private day tour; Customization boundaries,0,2,Related articles=2; related journeys=0.,Badaling Great Wall travel planning guide (Inspiration hub); explore together route planning article,beijing-cultural-highlights-and-iconic-sights-5-multi-days-tour; beijing-to-shanxi-ancient-architecture-with-black-myth-wukong-inspirations-6-day-tour; beijing-city-imperial-grandeur-urban-chic-1-day-tour,Link to Badaling Great Wall destination hub when available,Journey-specific inquiry CTA with slug context (current page pattern),68262f66-90f9-4f2f-822e-51865bde7967:beijing-imperial-temple-garden-hutongs-day-tour:possible_archive_substitute_or_merge_candidate; f699fa20-3732-4bd0-8379-974e9a35420c:dali-cangshan-mountain-with-chongsheng-three-pagodas-day-tour:possible_archive_substitute_or_merge_candidate; 0389826c-8d82-4c3b-b612-2b44c0b2f781:lijiang-to-dali-across-shaxi-ancient-town-day-tour:possible_archive_substitute_or_merge_candidate,
3468ea14-5f5e-40f6-9234-0fedf137189e,beijing-city-imperial-grandeur-urban-chic-1-day-tour,beijing-city-imperial-grandeur-urban-chic-1-day-tour,active,explore-together,Beijing City Imperial Grandeur & Urban Chic One-Day Tour,Beijing City Imperial Grandeur & Urban Chic 1-Day Tour,Beijing City Imperial Grandeur & Urban Chic 1-Day Tour,Navigating the Monumental Scale of Dynastic History and the Avant-Garde Ambition of a Modern Metropolis.,Navigating the Monumental Scale of Dynastic History and the Avant-Garde Ambition of a Modern Metropolis.,DAY_TOUR,,Beijing 1-day day tour,KEEP,KEEP,KEEP,REWRITE,79,75,25,15,11,14,15,10,0,10,4,search_intent=15; title_meta=11; content=14; route_trust=15; technical=10; internal_link=0; conversion=10; commercial=4; current_quality=75; commercial_value_proxy=4; optimization_opportunity=25,P1,Batch 1 template rewrite,Route summary: Navigating the Monumental Scale of Dynastic History and the Avant-Garde Ambition of a Modern Metropolis.,No structured highlights array. Marketing copy uses abstract phrasing instead of concrete day-by-day specifics.,Explore Together SKU; emphasize same-day logistics and private guide value.,No FAQ content in Journey data.,0,No FAQ in DB; page lacks FAQPage JSON-LD.,Pickup area and daily pace; What is included in a private day tour; Customization boundaries,0,0,Weak contextual internal linking: missing related content and insufficient destination/article connections.,Beijing travel planning guide (Inspiration hub); explore together route planning article,beijing-cultural-highlights-and-iconic-sights-5-multi-days-tour; beijing-to-shanxi-ancient-architecture-with-black-myth-wukong-inspirations-6-day-tour; badaling-great-wall-day-tour,Link to Beijing destination hub when available,Journey-specific inquiry CTA with slug context (current page pattern),68262f66-90f9-4f2f-822e-51865bde7967:beijing-imperial-temple-garden-hutongs-day-tour:possible_archive_substitute_or_merge_candidate,
8f3cdc36-f243-45da-b3b5-ecfba83929a6,beijing-cultural-highlights-and-iconic-sights-5-multi-days-tour,beijing-cultural-highlights-and-iconic-sights-5-multi-days-tour,active,deep-discovery,"Beijing Cultural Highlights, and Iconic Sights  5 Multi-Days Tour","Beijing Cultural Highlights, and Iconic Sights  5 Multi-Days Tour","Beijing Cultural Highlights, and Iconic Sights  5 Multi-Days Tour","Beijing begins, Beijing ends","Beijing begins, Beijing ends",CULTURE_EXPERIENCE,,Beijing 5-day culture experience,KEEP,KEEP,KEEP,REWRITE,82,77,23,10,12,15,15,10,5,10,5,search_intent=10; title_meta=12; content=15; route_trust=15; technical=10; internal_link=5; conversion=10; commercial=5; current_quality=77; commercial_value_proxy=5; optimization_opportunity=23,P1,Immediate fix,"Route summary: Beijing begins, Beijing ends",Itinerary copy appears thin relative to day count (proxy heuristic). No structured highlights array.,Deep Discovery multi-day route; differentiation should come from city sequence and pacing.,No FAQ content in Journey data.,0,No FAQ in DB; page lacks FAQPage JSON-LD.,Who this route suits; Typical hotel standard and flexibility; How private customization works,0,1,Related articles=1; related journeys=0.,Beijing travel planning guide (Inspiration hub); deep discovery route planning article,badaling-great-wall-day-tour; beijing-city-imperial-grandeur-urban-chic-1-day-tour; beijing-to-shanxi-ancient-architecture-with-black-myth-wukong-inspirations-6-day-tour,Link to Beijing destination hub when available,Journey-specific inquiry CTA with slug context (current page pattern),68262f66-90f9-4f2f-822e-51865bde7967:beijing-imperial-temple-garden-hutongs-day-tour:possible_archive_substitute_or_merge_candidate; 1654f129-046a-4daf-b595-a2fd00f13cc3:guilin-city-highlights-night-cruise-day-tour:possible_archive_substitute_or_merge_candidate; cf231b9a-9022-477f-a583-04e5711a659c:guiyang-city-highlights-day-tour:possible_archive_substitute_or_merge_candidate; 24ded7e2-c63c-4625-b5f9-5f383583633f:hangzhou-cultural-water-town-in-depth-6-day-tour:possible_archive_substitute_or_merge_candidate; ae4e5fd0-f467-4be2-858c-2ee30242b554:xiamen-city-coastal-highlights-day-tour:possible_archive_substitute_or_merge_candidate,
d5e5c0e9-6549-497a-97a3-4843621da5dc,beijing-to-mutianyu-great-wall-day-tour,beijing-to-mutianyu-great-wall-day-tour,active,explore-together,Beijing to Mutianyu Great Wall Day Tour,Beijing to Mutianyu Great Wall Day Tour,Beijing to Mutianyu Great Wall Day Tour,"Beijing begins, Beijing ends","Beijing begins, Beijing ends",DAY_TOUR,,Beijing + Great Wall 1-day day tour,KEEP,MINOR_EDIT,KEEP,REWRITE,89,85,15,15,12,18,15,10,5,10,4,search_intent=15; title_meta=12; content=18; route_trust=15; technical=10; internal_link=5; conversion=10; commercial=4; current_quality=85; commercial_value_proxy=4; optimization_opportunity=15,P1,Immediate fix,"Route summary: Beijing begins, Beijing ends",No structured highlights array.,Explore Together SKU; emphasize same-day logistics and private guide value.,No FAQ content in Journey data.,0,No FAQ in DB; page lacks FAQPage JSON-LD.,Crowd timing and wall section choice; Private transfer and hiking options; Suitable for children/seniors; Pickup area and daily pace; What is included in a private day tour; Customization boundaries,0,2,Related articles=2; related journeys=0.,Beijing travel planning guide (Inspiration hub); explore together route planning article,beijing-cultural-highlights-and-iconic-sights-5-multi-days-tour; beijing-to-shanxi-ancient-architecture-with-black-myth-wukong-inspirations-6-day-tour; badaling-great-wall-day-tour,Link to Beijing destination hub when available,Journey-specific inquiry CTA with slug context (current page pattern),68262f66-90f9-4f2f-822e-51865bde7967:beijing-imperial-temple-garden-hutongs-day-tour:possible_archive_substitute_or_merge_candidate,
4d3bbbb8-3907-459b-af10-181ace7af8ec,beijing-to-shanxi-ancient-architecture-with-black-myth-wukong-inspirations-6-day-tour,beijing-to-shanxi-ancient-architecture-with-black-myth-wukong-inspirations-6-day-tour,active,deep-discovery,Beijing to Shanxi Ancient Architecture with Black Myth: Wukong Inspirations  6-Day Tour,Beijing to Shanxi Ancient Architecture with Black Myth: Wukong Inspirations  6-Day Tour,Beijing to Shanxi Ancient Architecture with Black Myth: Wukong Inspirations  6-Day Tour,"Beijing begins, Xi’an ends","Beijing begins, Xi’an ends",SPECIAL_INTEREST,,Beijing + Shanxi 6-day special interest,KEEP,KEEP,KEEP,MINOR_EDIT,84,79,21,15,14,15,15,10,0,10,5,search_intent=15; title_meta=14; content=15; route_trust=15; technical=10; internal_link=0; conversion=10; commercial=5; current_quality=79; commercial_value_proxy=5; optimization_opportunity=21,P1,Immediate fix,"Route summary: Beijing begins, Xi’an ends",Itinerary copy appears thin relative to day count (proxy heuristic). No structured highlights array.,Deep Discovery multi-day route; differentiation should come from city sequence and pacing.,No FAQ content in Journey data.,0,No FAQ in DB; page lacks FAQPage JSON-LD.,Pickup area and daily pace; What is included in a private day tour; Customization boundaries,0,0,Weak contextual internal linking: missing related content and insufficient destination/article connections.,Beijing travel planning guide (Inspiration hub); deep discovery route planning article,badaling-great-wall-day-tour; beijing-city-imperial-grandeur-urban-chic-1-day-tour; beijing-cultural-highlights-and-iconic-sights-5-multi-days-tour,Link to Beijing destination hub when available,Journey-specific inquiry CTA with slug context (current page pattern),,
12da1d30-0d8d-49df-b350-fe6880c56ab8,chaoshan-region-cultural-heritage-6-day-tour,chaoshan-region-cultural-heritage-6-day-tour,active,deep-discovery,Chaoshan Region Cultural Heritage 6-Day  Tour,Chaoshan Region Cultural Heritage 6-Day  Tour,Chaoshan Region Cultural Heritage 6-Day  Tour,"Chaozhou begins, Jieyang ends","Chaozhou begins, Jieyang ends",CULTURE_EXPERIENCE,,Chaoshan + Chaozhou 6-day culture experience,KEEP,KEEP,KEEP,MINOR_EDIT,82,79,21,15,14,15,15,10,0,10,3,search_intent=15; title_meta=14; content=15; route_trust=15; technical=10; internal_link=0; conversion=10; commercial=3; current_quality=79; commercial_value_proxy=3; optimization_opportunity=21,P1,Immediate fix,"Route summary: Chaozhou begins, Jieyang ends",Itinerary copy appears thin relative to day count (proxy heuristic). No structured highlights array.,Deep Discovery multi-day route; differentiation should come from city sequence and pacing.,Inclusions not surfaced in structured fields. No FAQ content in Journey data.,0,No FAQ in DB; page lacks FAQPage JSON-LD.,Pickup area and daily pace; What is included in a private day tour; Customization boundaries,0,0,Weak contextual internal linking: missing related content and insufficient destination/article connections.,Chaoshan travel planning guide (Inspiration hub); deep discovery route planning article,guangzhou-chaoshan-xiamen-cultural-loop-8-day-tour,Link to Chaoshan destination hub when available,Journey-specific inquiry CTA with slug context (current page pattern),24ded7e2-c63c-4625-b5f9-5f383583633f:hangzhou-cultural-water-town-in-depth-6-day-tour:possible_archive_substitute_or_merge_candidate; 991d0029-2312-4301-bb1e-51aa586c122c:sichuan-chengdu-classic-heritage-7-day-tour:possible_archive_substitute_or_merge_candidate,
535ac95b-f891-4e1c-916f-57028d7cb9e0,chengdu-chongqing-double-cities-6-day-tour,chengdu-chongqing-double-cities-6-day-tour,active,deep-discovery,Chengdu & Chongqing Double Cities 6-Day  Tour,Chengdu & Chongqing Double Cities 6-Day  Tour,Chengdu & Chongqing Double Cities 6-Day  Tour,"Chengdu begins, Chongqing ends","Chengdu begins, Chongqing ends",CITY_COMBINATION,,Chengdu + Chongqing 6-day city combination,KEEP,KEEP,KEEP,MINOR_EDIT,82,79,21,15,14,15,15,10,0,10,3,search_intent=15; title_meta=14; content=15; route_trust=15; technical=10; internal_link=0; conversion=10; commercial=3; current_quality=79; commercial_value_proxy=3; optimization_opportunity=21,P1,Immediate fix,"Route summary: Chengdu begins, Chongqing ends",Itinerary copy appears thin relative to day count (proxy heuristic). No structured highlights array.,Deep Discovery multi-day route; differentiation should come from city sequence and pacing.,No FAQ content in Journey data.,0,No FAQ in DB; page lacks FAQPage JSON-LD.,Pickup area and daily pace; What is included in a private day tour; Customization boundaries,0,0,Weak contextual internal linking: missing related content and insufficient destination/article connections.,Chengdu travel planning guide (Inspiration hub); deep discovery route planning article,chongqing-highlights-magic-cityscape-day-tour; jiuzhaigou-huanglong-by-high-speed-rail-3-day-tour; grand-china-highlights-16-day-multi-city-journey,Link to Chengdu destination hub when available,Journey-specific inquiry CTA with slug context (current page pattern),,
d48f2466-e466-4801-886c-cd28c6cc97c6,chongqing-highlights-magic-cityscape-day-tour,chongqing-highlights-magic-cityscape-day-tour,active,explore-together,Chongqing Highlights & Magic Cityscape Day Tour,Chongqing Highlights & Magic Cityscape Day Tour | Korascale Travel,Chongqing Highlights & Magic Cityscape Day Tour | Korascale Travel,"Chongqing begins, Chongqing ends","Chongqing begins, Chongqing ends",DAY_TOUR,,Chongqing 1-day day tour,KEEP,MINOR_EDIT,KEEP,MINOR_EDIT,89,87,13,15,14,18,15,10,5,10,2,search_intent=15; title_meta=14; content=18; route_trust=15; technical=10; internal_link=5; conversion=10; commercial=2; current_quality=87; commercial_value_proxy=2; optimization_opportunity=13,P2,Batch 2,"Route summary: Chongqing begins, Chongqing ends",No structured highlights array.,Explore Together SKU; emphasize same-day logistics and private guide value.,No FAQ content in Journey data.,0,No FAQ in DB; page lacks FAQPage JSON-LD.,Pickup area and daily pace; What is included in a private day tour; Customization boundaries,4,0,Related articles=0; related journeys=4.,Chongqing travel planning guide (Inspiration hub); explore together route planning article,chengdu-chongqing-double-cities-6-day-tour; grand-china-highlights-16-day-multi-city-journey,Link to Chongqing destination hub when available,Journey-specific inquiry CTA with slug context (current page pattern),,
9b0aefcc-3604-4d5c-bcc2-0b8ee80bb621,grand-china-highlands-nature-18-day-journey,grand-china-highlands-nature-18-day-journey,active,deep-discovery,Grand China Highlands & Nature 18-Day Journey,Grand China Highlands & Nature 18-Day Journey,Grand China Highlands & Nature 18-Day Journey,Shanghai begins · Lijiang · Shangri-La · Lhasa · Everest · Shigatse · Beijing ends,Shanghai begins · Lijiang · Shangri-La · Lhasa · Everest · Shigatse · Beijing ends,NATURE_ADVENTURE,,Beijing + Lhasa 18-day nature adventure,KEEP,KEEP,KEEP,MINOR_EDIT,84,79,21,15,14,15,15,10,0,10,5,search_intent=15; title_meta=14; content=15; route_trust=15; technical=10; internal_link=0; conversion=10; commercial=5; current_quality=79; commercial_value_proxy=5; optimization_opportunity=21,P1,Immediate fix,Route summary: Shanghai begins · Lijiang · Shangri-La · Lhasa · Everest · Shigatse · Beijing ends,Itinerary copy appears thin relative to day count (proxy heuristic). No structured highlights array.,Deep Discovery multi-day route; differentiation should come from city sequence and pacing.,No FAQ content in Journey data.,0,No FAQ in DB; page lacks FAQPage JSON-LD.,Who this route suits; Typical hotel standard and flexibility; How private customization works,0,0,Weak contextual internal linking: missing related content and insufficient destination/article connections.,Beijing travel planning guide (Inspiration hub); deep discovery route planning article,badaling-great-wall-day-tour; beijing-city-imperial-grandeur-urban-chic-1-day-tour; beijing-cultural-highlights-and-iconic-sights-5-multi-days-tour,Link to Beijing destination hub when available,Journey-specific inquiry CTA with slug context (current page pattern),e468b842-7c59-4258-8d56-8b585566be82:/journeys/chengdu-panda-alley-culture-day-tour:possible_archive_substitute_or_merge_candidate; 68262f66-90f9-4f2f-822e-51865bde7967:beijing-imperial-temple-garden-hutongs-day-tour:possible_archive_substitute_or_merge_candidate; 7e8e641d-4446-490c-9b94-ce19c8a94912:hailar-to-hulunbuir-grassland-arxan-grand-loop-9-day-tour:possible_archive_substitute_or_merge_candidate; 0389826c-8d82-4c3b-b612-2b44c0b2f781:lijiang-to-dali-across-shaxi-ancient-town-day-tour:possible_archive_substitute_or_merge_candidate; b4c761e4-b3b1-4568-b173-3ff9ece44388:lijiang-yulong-snow-mountain-day-tour:possible_archive_substitute_or_merge_candidate,
eb9647df-6b38-46be-9920-9b80f27a9d2e,grand-china-highlights-16-day-multi-city-journey,grand-china-highlights-16-day-multi-city-journey,active,deep-discovery,Grand China Highlights 16-Day Multi-City Journey,Grand China Highlights 16-Day Multi-City Journey,Grand China Highlights 16-Day Multi-City Journey,Beijing begins · Xi’an · Chengdu · Chongqing · Guilin · Shanghai ends,Beijing begins · Xi’an · Chengdu · Chongqing · Guilin · Shanghai ends,FIRST_TIME_CHINA,,Beijing + Chengdu 16-day first time china,KEEP,KEEP,KEEP,MINOR_EDIT,84,79,21,15,14,15,15,10,0,10,5,search_intent=15; title_meta=14; content=15; route_trust=15; technical=10; internal_link=0; conversion=10; commercial=5; current_quality=79; commercial_value_proxy=5; optimization_opportunity=21,P1,Batch 1 template rewrite,Route summary: Beijing begins · Xi’an · Chengdu · Chongqing · Guilin · Shanghai ends,Itinerary copy appears thin relative to day count (proxy heuristic). No structured highlights array.,Deep Discovery multi-day route; differentiation should come from city sequence and pacing.,No FAQ content in Journey data.,0,No FAQ in DB; page lacks FAQPage JSON-LD.,Who this route suits; Typical hotel standard and flexibility; How private customization works,0,0,Weak contextual internal linking: missing related content and insufficient destination/article connections.,Beijing travel planning guide (Inspiration hub); deep discovery route planning article,badaling-great-wall-day-tour; beijing-city-imperial-grandeur-urban-chic-1-day-tour; beijing-cultural-highlights-and-iconic-sights-5-multi-days-tour,Link to Beijing destination hub when available,Journey-specific inquiry CTA with slug context (current page pattern),,
